product_id,keyword,method,domain,url,human_relevant,notes
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-16-pro-max-256-gb-siyah-titanyum-fiyati,760887262.html",true,Human-verified by project member; exact product and storage match.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-apple-iphone-16-pro-max-256gb-desert-titanyum-fiyatlari,2389291001",true,Human-verified by project member; exact product and storage match.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-pro-max-256-gb-akilli-telefon-siyah-147051791.html,true,Human-verified by project member; exact product and storage match.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-apple-iphone-16-pro-max,true,Human-verified by project member; requested product listings match.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,trendyol.com,https://www.trendyol.com/iphone-16-pro-max-cep-telefonu-x-c103498-a292-v10577513,true,Human-verified by project member; requested product listings match.
P001,iPhone 16 Pro Max 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-16-pro-max-256-gb-siyah-titanyum-fiyati,760887262.html",true,Human-verified by project member; exact product and storage match.
P001,iPhone 16 Pro Max 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-apple-iphone-16-pro-max-256gb-desert-titanyum-fiyatlari,2389291001",true,Human-verified by project member; exact product and storage match.
P001,iPhone 16 Pro Max 256 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-pro-max-256-gb-akilli-telefon-siyah-147051791.html,true,Human-verified by project member; exact product and storage match.
P001,iPhone 16 Pro Max 256 GB fiyat,,teknosa.com,https://www.teknosa.com/iphone-16-pro-max-c-100001001032,true,Human-verified by project member; requested product listings match.
P001,iPhone 16 Pro Max 256 GB fiyat,,trendyol.com,https://www.trendyol.com/iphone-16-pro-max-cep-telefonu-x-c103498-a292-v10577513,true,Human-verified by project member; requested product listings match.
P002,Apple iPhone 16 Pro 128 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-16-pro-fiyati,760848471.html",true,Human-verified by project member; exact product and storage match.
P002,Apple iPhone 16 Pro 128 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-apple-iphone-16-pro-5g-128gb-fiyatlari,a2314866756",true,Human-verified by project member; exact product and storage match.
P002,Apple iPhone 16 Pro 128 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-16-pro-128-gb-akilli-telefon-siyah-146317261.html,true,Human-verified by project member; exact product and storage match.
P002,Apple iPhone 16 Pro 128 GB fiyat,,sahibinden.com,https://www.sahibinden.com/cep-telefonu-aksesuar-cep-telefonu-apple-iphone-16-pro,true,Human-verified by project member; requested product listings match.
P002,Apple iPhone 16 Pro 128 GB fiyat,,trendyol.com,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,true,Human-verified by project member; exact product and storage match; currently out of stock.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,amazon.com,https://www.amazon.com/Apple-iPhone-16-Pro-Max/dp/B0DHJ896RY,true,Human-verified by project member; requested product and storage match in a purchase or price-comparison context.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,apple.com,https://www.apple.com/tr/iphone,false,Human-verified by project member; general Apple iPhone page does not identify the requested iPhone 16 Pro Max 256 GB product.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-apple-iphone-16-pro-max-5g-256gb-fiyatlari,a2314863848",true,Human-verified by project member; requested product and storage match in a purchase or price-comparison context.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,epey.com,https://www.epey.com/akilli-telefonlar/apple-iphone-16-pro-max.html,true,Human-verified by project member; requested product and storage match in a purchase or price-comparison context.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/category/iphone-16-pro-max-903531.html,true,Human-verified by project member; requested product and storage match in a purchase or price-comparison context.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,vatanbilgisayar.com,https://www.vatanbilgisayar.com/iphone-16-pro-max-akilli-telefon.html,true,"Human-verified by project member; requested product page matches; currently out of stock, which does not change relevance."
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,apple.com,https://www.apple.com/shop/buy-iphone/iphone-16,false,Human-approved after AI-assisted review by project owner on 2026-07-31; Apple sayfası iPhone 16 / 16 Plus içindir; Pro Max modeliyle eşleşmiyor.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,bestbuy.com,https://www.bestbuy.com/site/searchpage.jsp?st=iphone+16+pro+max&id=pcat17071,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Mağaza arama sonucu iPhone 16 Pro Max 256 GB satış ilanları içeriyor.
P001,Apple iPhone 16 Pro Max 256 GB fiyat,,ebay.com,https://www.ebay.com/b/Apple-iPhone-16-Pro-Max/9355/bn_7122966045,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Pazaryeri kategori sayfasında iPhone 16 Pro Max 256 GB ilanları bulunuyor.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-256-gb-titanyum-siyah-fiyati,917799231.html",true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-256-gb-titanyum-yesil-fiyati,1044569774.html",true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası; renk sonucu değiştirmez.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,akakce.com,"https://www.akakce.com/cep-telefonu/en-ucuz-samsung-galaxy-s25-ultra-fiyati,651960345.html",true,Human-approved after AI-assisted review by project owner on 2026-07-31; Model fiyat sayfası 256 GB varyant ve mağaza teklifleri içeriyor.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,amazon.com,https://www.amazon.com/SAMSUNG-S25-Ultra-Smartphone-Processor/dp/B0F39CGPQV,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru modelin 256 GB yenilenmiş satış sayfası; ürün durumu relevance değerini değiştirmez.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-samsung-galaxy-s25-ultra-256gb-12gb-ram-fiyatlari,a2432333010",true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,cimri.com,"https://www.cimri.com/cep-telefonlari/en-ucuz-samsung-galaxy-s25-ultra-256gb-12gb-ram-mavi-titanyum-fiyatlari,2432116719",true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru model ve 256 GB kapasite için fiyat karşılaştırma sayfası; renk sonucu değiştirmez.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,mediamarkt.com.tr,https://www.mediamarkt.com.tr/tr/product/_samsung-galaxy-s25-ultra-12gb256gb-akilli-telefon-titanyum-1245472.html,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru model ve 256 GB kapasite için mağaza ürün sayfası.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,samsung.com,https://www.samsung.com/us/smartphones/galaxy-s25-ultra/buy,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Resmî satın alma sayfası 256 GB seçeneğini içeriyor.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,samsung.com,https://www.samsung.com/us/smartphones/galaxy-s25-ultra/buy/galaxy-s25-ultra-256gb-unlocked-sku-sm-s938uzkaxaa,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Resmî satın alma sayfası doğrudan 256 GB varyantına ait.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung-galaxy-s25-ultra-cep-telefonu-x-c103498-a292-v10621058,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Pazaryeri listeleme sayfasında doğru modelin 256 GB ürünleri yer alıyor.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung-galaxy-s25-ultra-y-s367626,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Pazaryeri model sayfasında doğru modelin 256 GB ürünleri yer alıyor.
P011,Samsung Galaxy S25 Ultra 256 GB fiyat,,trendyol.com,https://www.trendyol.com/samsung/galaxy-s25-ultra-256-gb-titanyum-mavi-cep-telefonu-turkiye-garantili-p-897489922,true,Human-approved after AI-assisted review by project owner on 2026-07-31; Doğru model ve 256 GB kapasite için doğrudan ürün sayfası.
